,Ene_FLAT_VOL30_PEAK70,Dist_FLAT_VOL30_PEAK70,Ene_FLAT_VOL100_PEAK0,Dist_FLAT_VOL100_PEAK0,Ene_FLAT_VOL10_PEAK90,Dist_FLAT_VOL10_PEAK90,Ene_UKE7_VOL30_PEAK70,Dist_UKE7_VOL30_PEAK70,Ene_UKE7_VOL100_PEAK0,Dist_UKE7_VOL100_PEAK0,Ene_UKE7_VOL10_PEAK90,Dist_UKE7_VOL10_PEAK90,Ene_Cmg_VOL30_PEAK70,Dist_Cmg_VOL30_PEAK70,Ene_Cmg_VOL100_PEAK0,Dist_Cmg_VOL100_PEAK0,Ene_Cmg_VOL10_PEAK90,Dist_Cmg_VOL10_PEAK90
0,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
1,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12792.00996371262,3405.2279848525905,12792.00996371262,14612.088786053104,12792.00996371262,1024.7073738280394
2,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,12270.344308449887,3405.2279848525905,12270.344308449887,14612.088786053104,12270.344308449887,1024.7073738280394
3,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10742.15197478144,3405.2279848525905,10742.15197478144,14612.088786053104,10742.15197478144,1024.7073738280394
4,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,10681.344321714003,3405.2279848525905,10681.344321714003,14612.088786053104,10681.344321714003,1024.7073738280394
5,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,11564.655492588328,3405.2279848525905,11564.655492588328,14612.088786053104,11564.655492588328,1024.7073738280394
6,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,12030.882610267809,4186.951441200489,12030.882610267809,14612.18966069978,12030.882610267809,1137.864393954312,13153.655479324212,3405.2279848525905,13153.655479324212,14612.088786053104,13153.655479324212,1024.7073738280394
7,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,13507.299987953244,3405.2279848525905,13507.299987953244,14612.088786053104,13507.299987953244,1024.7073738280394
8,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,6336.797530185387,3405.2279848525905,6336.797530185387,14612.088786053104,6336.797530185387,1024.7073738280394
9,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
10,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
11,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
12,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
13,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
14,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
15,12488.177631931123,4186.872155915932,12488.177631931123,14612.189619276309,12488.177631931123,1028.7225223220948,13014.683480784333,4186.951441200489,13014.683480784333,14612.18966069978,13014.683480784333,1137.864393954312,0.0,3405.2279848525905,0.0,14612.088786053104,0.0,1024.7073738280394
