,Ps_inv [$],Pt_inv [$],Sto_inv [$],Thermal_operating [$],Grid_buys_energy [$],Grid_buys_distribution [$],Grid_sells_energy [$],Total [$],Zone,As
0,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
1,0.0,0.0,50.000000000000014,0.0,134.97628022510003,133.00380040148232,0.0,317.9800806265823,1,150000
2,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
3,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
4,0.0,0.0,100.0,0.0,60.40897706721967,71.42646124401428,0.0,231.83543831123393,2,150000
5,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
6,0.0,0.0,100.00000000000003,0.0,60.408977067219666,71.42646124401442,0.0,231.8354383112341,2,150000
7,0.0,0.0,100.00000000000003,0.0,60.408977067219666,71.42646124401442,0.0,231.8354383112341,2,150000
8,0.0,0.0,100.0,0.0,60.40897706721967,71.42646124401428,0.0,231.83543831123393,2,150000
9,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
10,0.0,0.0,50.000000000000014,0.0,134.97628022510003,133.00380040148232,0.0,317.9800806265823,1,150000
11,0.0,0.0,50.0000000000004,0.0,134.97628022509963,133.00380040148184,0.0,317.98008062658187,1,150000
12,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
13,0.0,0.0,25.000000000000007,0.0,173.6965321478408,163.8117000819612,0.0,362.508232229802,3,150000
14,0.0,0.0,25.0,0.0,173.6965321478408,163.8117000819612,0.0,362.508232229802,3,150000
15,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
16,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
17,0.0,0.0,25.0,0.0,173.69653214784083,163.8117000819612,0.0,362.50823222980205,3,150000
18,0.0,0.0,25.0,0.0,173.6965321478408,163.8117000819612,0.0,362.508232229802,3,150000
19,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
20,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
21,0.0,0.0,25.0,0.0,173.6965321478408,163.8117000819612,0.0,362.508232229802,3,150000
22,0.0,0.0,25.000000000000007,0.0,173.6965321478408,163.8117000819612,0.0,362.508232229802,3,150000
23,0.0,0.0,50.0000000000004,0.0,134.97628022509963,133.00380040148184,0.0,317.98008062658187,1,150000
24,0.0,0.0,0.0,0.0,214.73156531091504,194.52867300465678,0.0,409.2602383155718,4,150000
